rsllrlsrrslrrsl,15,11,4,4,5,1,2.2,0.2666667,0.1733333
rsllrlsrrlrrlrl,15,13,2,2,3,1,4.333333,0.1333333,-0.1777778
rsllrlsrrlrsrsl,15,11,4,4,5,1,2.2,0.2666667,0.1733333
rsllrlsrsrrlsrl,15,11,4,4,5,1,2.2,0.2666667,0.1733333
rsllrlsrsrrllrrsl,17,13,4,4,5,1,2.6,0.2352941,0.1043137
rsllrlsrsrsrlrl,15,11,4,4,5,1,2.2,0.2666667,0.1733333
rsllrlsrsrssrsl,15,9,6,5,6,1.2,1.5,0.4,0.4133334
rsllrlsrlrrsrlsrl,17,13,4,4,5,1,2.6,0.2352941,0.1043137
rsllrlsrlrrsrllrrsl,19,15,4,4,5,1,3,0.2105263,0.03859649
rsllrlsrlrrssrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.1509804
rsllrlsrlrrsssrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.4164706
rsllrlssrrsssrl,15,9,6,3,4,2,2.25,0.4,0.6333333
rsllrlssrrsslrrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.4164706
rsllrlssrrslrrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.1509804
rsllrlssrrslrsrsl,17,11,6,5,6,1.2,1.833333,0.3529412,0.3453595
rsllrlssrrlrrlsrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.1509804
rsllrlssrrlrrllrrsl,19,15,4,3,4,1.333333,3.75,0.2105263,0.07192984
rsllrlssrrlrsrlrl,17,13,4,3,4,1.333333,3.25,0.2352941,0.1509804
rsllrlssrrlrssrsl,17,11,6,4,5,1.5,2.2,0.3529412,0.4164706
rsllrlssrsrrlssrl,17,11,6,4,5,1.5,2.2,0.3529412,0.4164706
rsllrlssrsrrlslrrsl,19,13,6,5,6,1.2,2.166667,0.3157895,0.2823392
rsllrlssrsrrllrrlrl,19,15,4,3,4,1.333333,3.75,0.2105263,0.07192984
