rsllsrrllrs,11,8,3,3,3,1,2.666667,0.2727273,0.1141414
rsllsrrllsrrl,13,10,3,3,4,1,2.5,0.2307692,0.1153846
rsllsrrllssrrsl,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllsrrllslrrsrsl,17,12,5,5,6,1,2,0.2941177,0.2137255
rsllsrrllslsrrssrsl,19,12,7,6,7,1.166667,1.714286,0.368421,0.3556391
rsllsrrllslssrrsssrsl,21,12,9,6,7,1.5,1.714286,0.4285714,-1
rsllsrsrrllslsr,15,10,5,5,6,1,1.666667,0.3333333,0.2777778
rsllsrsrsllsr,13,8,5,5,6,1,1.333333,0.3846154,0.3478633
rsllsrsrllr,11,8,3,3,4,1,2,0.2727273,0.2030303
rsllsrsss,9,4,5,3,3,1.666667,1.333333,0.5555556,0.7
rsllsrslrrl,11,8,3,3,4,1,2,0.2727273,0.2030303
rsllsrslsrrsl,13,8,5,5,6,1,1.333333,0.3846154,0.3478633
rsllsrsllrrsrsl,15,10,5,5,6,1,1.666667,0.3333333,0.2777778
rsllsrsllsrrssrsl,17,10,7,6,7,1.166667,1.428571,0.4117647,0.4154061
rsllsrsllssrrsssrsl,19,10,9,6,7,1.5,1.428571,0.4736842,0.5796993
rsllsrlrrsrllslsr,17,12,5,5,6,1,2,0.2941177,0.2137255
rsllsrlrrssllsr,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllsrlrrsllr,13,10,3,3,4,1,2.5,0.2307692,0.1153846
rsllsrlrrls,11,8,3,3,3,1,2.666667,0.2727273,0.1141414
rsllsrlrsrl,11,8,3,3,4,1,2,0.2727273,0.2030303
rsllsrlrlrrsl,13,10,3,3,4,1,2.5,0.2307692,0.1153846
rsllsrlsrrssrllslsr,19,12,7,6,7,1.166667,1.714286,0.368421,0.3556391
rsllsrlsrrsssllsr,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rsllsrlsrrssllr,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllsrlsrrsls,13,8,5,5,5,1,1.6,0.3846154,0.3123077
rsllsrlsrrlrl,13,10,3,3,4,1,2.5,0.2307692,0.1153846
rsllsrlsrsrrlsrllslsr,21,14,7,7,8,1,1.75,0.3333333,-1
rsllsrlsrsrrlssllsr,19,12,7,6,7,1.166667,1.714286,0.368421,0.3556391
rsllsrlsrsrrlsllr,17,12,5,5,6,1,2,0.2941177,0.2137255
rsllsrlsrsrrlls,15,10,5,5,5,1,2,0.3333333,0.2333333
rsllsrlsrsrsl,13,8,5,5,6,1,1.333333,0.3846154,0.3478633
rsllsrllrrsrssrllslsr,21,14,7,6,7,1.166667,2,0.3333333,-1
rsllsrllrrsrsssllsr,19,12,7,5,6,1.4,2,0.368421,0.4108772
rsllsrllrrsrssllr,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllsrllrrsrsls,15,10,5,5,5,1,2,0.3333333,0.2333333
rsllsrllrrsrlrl,15,12,3,3,4,1,3,0.2,0.03333334
rsllsrllrrssrrlsrllslsr,23,16,7,6,7,1.166667,2.285714,0.3043478,-1
rsllsrllrrssrrlssllsr,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rsllsrllrrssrrlsllr,19,14,5,4,5,1.25,2.8,0.2631579,0.191579
rsllsrllrrssrrlls,17,12,5,4,4,1.25,3,0.2941177,0.1803922
rsllsrllrrssrsl,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllsrllsrrssrssrllslsr,23,14,9,7,8,1.285714,1.75,0.3913043,-1
rsllsrllsrrssrsssllsr,21,12,9,6,7,1.5,1.714286,0.4285714,-1
rsllsrllsrrssrssllr,19,12,7,5,6,1.4,2,0.368421,0.4108772
rsllsrllsrrssrsls,17,10,7,6,6,1.166667,1.666667,0.4117647,0.3836601
rsllsrllsrrssrlrl,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllsrllsrrsssrrlsrllslsr,25,16,9,7,8,1.285714,2,0.36,-1
rsllsrllsrrsssrrlssllsr,23,14,9,6,7,1.5,2,0.3913043,-1
rsllsrllsrrsssrrlsllr,21,14,7,5,6,1.4,2.333333,0.3333333,-1
rsllsrllsrrsssrrlls,19,12,7,5,5,1.4,2.4,0.368421,0.3575438
rsllsrllsrrsssrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rsllssrrsslslsr,15,8,7,5,6,1.4,1.333333,0.4666667,0.5488889
rsllssrrsslsllrrs,17,10,7,5,5,1.4,2,0.4117647,0.432549
rsllssrrsslsllrsrrl,19,12,7,5,6,1.4,2,0.368421,0.4108772
rsllssrrsslsllrssrrsl,21,12,9,6,7,1.5,1.714286,0.4285714,-1
rsllssrrssllrlr,15,10,5,3,4,1.666667,2.5,0.3333333,0.4333333
rsllssrrssllsrs,15,8,7,5,5,1.4,1.6,0.4666667,0.5133333
rsllssrrssllssrrl,17,10,7,4,5,1.75,2,0.4117647,0.572549
rsllssrrssllsssrrsl,19,10,9,5,6,1.8,1.666667,0.4736842,0.6679532
rsllssrrslrllsr,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllssrrslslr,13,8,5,4,5,1.25,1.6,0.3846154,0.4123077
rsllssrrsllrs,13,8,5,4,4,1.25,2,0.3846154,0.3589744
rsllssrrsllsrrl,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllssrrsllssrrsl,17,10,7,5,6,1.4,1.666667,0.4117647,0.4769935
rsllssrrlrrllslsr,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllssrrlrsllsr,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllssrrlrllr,13,10,3,2,3,1.5,3.333333,0.2307692,0.2042735
rsllssrrlss,11,6,5,3,3,1.666667,2,0.4545455,0.5606061
rsllssrrllrrl,13,10,3,2,3,1.5,3.333333,0.2307692,0.2042735
rsllssrrllsrrsl,15,10,5,4,5,1.25,2,0.3333333,0.3333333
rsllssrsrrlslslsr,17,10,7,6,7,1.166667,1.428571,0.4117647,0.4154061
rsllssrsrrlsllrlr,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllssrsrrllrllsr,17,12,5,4,5,1.25,2.4,0.2941177,0.2603922
rsllssrsrrllslr,15,10,5,4,5,1.25,2,0.3333333,0.3333333
